step,price,balance,shares_held,portfolio,action,reward
0,60.06666564941406,80000.0,332.8862228078239,99995.36544469392,1,-0.00014634555306081848
1,55.58599853515625,60000.0,665.1850049113394,96974.97270860962,1,-0.030305327243439113
2,53.32733154296875,40000.0,1024.2696731069695,94621.56844718358,1,-0.024368161110986067
3,51.91999816894531,20000.0,1398.563290709726,92613.4034928031,1,-0.021323120556296732
4,45.26666641235352,39960.0,1013.3552647979973,85831.21472881312,2,-0.07333117937801459
5,44.53266525268555,19960.0,1454.299593644624,84723.83698089267,1,-0.013001806777630328
6,49.574668884277344,19960.0,1454.299593644624,92056.42081347133,1,0.08154688094723866
7,49.70066833496094,39920.0,1050.8677513324506,92148.82957288032,2,0.0009038274201018071
8,49.96666717529297,19920.0,1452.4736151771194,92495.26571044969,1,0.003659528354023969
9,48.30266571044922,19920.0,1452.4736151771194,90078.34748714806,1,-0.03113018303950398
10,46.89866638183594,19920.0,1452.4736151771194,88039.07550661088,1,-0.027638869799738557
11,40.53333282470703,19920.0,1452.4736151771194,78793.59646307962,1,-0.11001563073361566
12,43.02199935913086,19920.0,1452.4736151771194,82408.31894130452,1,0.04087584068355864
13,42.28200149536133,39880.0,987.5951739627117,81637.500622303,2,-0.009453646924293152
14,37.369998931884766,19880.0,1459.6655380515344,74427.69959789485,1,-0.08841481818342657
15,36.44133377075195,19880.0,1459.6655380515344,73072.1590658002,1,-0.02321285004666437
16,29.67133331298828,19880.0,1459.6655380515344,63190.22270500946,0,-0.13523531379293297
17,28.68000030517578,19880.0,1459.6655380515344,61743.20807677258,1,-0.02789934370055867
18,24.08133316040039,19880.0,1459.6655380515344,55030.692124574096,1,-0.11371666959468506
19,28.50933265686035,19880.0,1459.6655380515344,61494.090392066246,1,0.11245079005840425
20,28.50200080871582,19880.0,1459.6655380515344,61483.38834599945,0,-0.00017403373232397062
21,28.952667236328125,19880.0,1459.6655380515344,62141.210599541926,1,0.005699186743589276
22,33.66666793823242,19880.0,1459.6655380515344,69022.07497046237,1,0.10572948699475546
23,35.95000076293945,19880.0,1459.6655380515344,72354.9772065891,1,0.04328748248372678
24,35.21066665649414,19880.0,1459.6655380515344,71275.79669030473,0,-0.014915083356367565
25,34.29066848754883,19880.0,1459.6655380515344,69932.90706802477,1,-0.02384075218569411
26,33.47533416748047,19880.0,1459.6655380515344,68742.79165903029,1,-0.022017959911731052
27,34.93333435058594,19880.0,1459.6655380515344,70870.98428078217,1,0.025958775027756377
28,32.104000091552734,19880.0,1459.6655380515344,66741.10256724284,0,-0.05827323770722851
29,30.29800033569336,19880.0,1459.6655380515344,64104.94696188542,1,-0.04449823278243574
30,32.000667572021484,19880.0,1459.6655380515344,66590.27164952303,1,0.03376962395921264
31,34.41600036621094,19880.0,1459.6655380515344,70115.84969212709,1,0.0479443408965168
32,36.36333465576172,19880.0,1459.6655380515344,72958.30644565044,1,0.035539432467898535
33,36.589332580566406,19880.0,1459.6655380515344,73288.187828159,1,-0.00047849451858775725
34,38.20000076293945,19880.0,1459.6655380515344,75639.22466720504,1,0.027079341961061296
35,43.39666748046875,19880.0,1459.6655380515344,83224.61998752195,1,0.0952838851626359
36,47.32600021362305,19880.0,1459.6655380515344,88960.13156564512,0,0.06891604406223834
37,48.65533447265625,19880.0,1459.6655380515344,90900.51497210715,0,0.021811831573452307
38,49.68066787719727,19880.0,1459.6655380515344,92397.15880772875,1,0.011464635388268415
39,50.25933456420898,19880.0,1459.6655380515344,93241.81862877817,1,0.0041416211488395265
40,49.75733184814453,19880.0,1459.6655380515344,92509.06256413064,0,-0.007858663370400696
41,45.78133392333984,19880.0,1459.6655380515344,86705.4354139288,1,-0.06773576868405176
42,48.80733489990234,39840.0,1022.8062706153845,89760.4481876452,2,0.035134385931306814
43,47.04199981689453,19840.0,1431.762831780934,87192.9868704751,1,-0.02870348147775255
44,48.34333419799805,39800.0,1006.6108382889979,88462.924162732,2,0.014464672433384751
45,53.25,19800.0,1419.4925762049138,95387.97968291165,1,0.07818201007057585
46,51.27466583251953,19800.0,1419.4925762049138,92584.00749664922,1,-0.0343954457949875
47,53.367332458496094,19800.0,1419.4925762049138,95554.53223669474,1,0.027084642049578462
48,52.12533187866211,19800.0,1419.4925762049138,93791.52163397819,1,-0.023450308545799128
49,46.75466537475586,19800.0,1419.4925762049138,86167.90040241087,1,-0.0862826266036972
50,50.74599838256836,19800.0,1419.4925762049138,91833.56797616235,1,0.060751486891200725
51,51.2140007019043,19800.0,1419.4925762049138,92497.89379410639,0,0.007234019461342068
52,52.172000885009766,39760.0,1028.9743638822365,93443.6514231164,2,0.010124639613040155
53,52.00266647338867,19760.0,1411.5565823467455,93164.7061600942,1,-0.0030851708358348487
54,54.62799835205078,19760.0,1411.5565823467455,96870.51065426445,1,0.03477691388627536
55,54.08599853515625,19760.0,1411.5565823467455,96105.44724509623,0,-0.007897794736509188
56,53.96066665649414,19760.0,1411.5565823467455,95928.53420679286,1,-0.006840822173712971
57,52.73066711425781,19760.0,1411.5565823467455,94192.32025666568,0,-0.018099035542275717
58,53.55533218383789,19760.0,1411.5565823467455,95356.38166386288,1,0.007358347305016141
59,53.27799987792969,19760.0,1411.5565823467455,94964.91142196076,0,-0.004105338678664132
60,54.242000579833984,19760.0,1411.5565823467455,96325.65295812064,1,0.009328887541564069
61,53.867332458496094,19760.0,1411.5565823467455,95796.78770525065,0,-0.005490388454464128
62,54.37066650390625,19760.0,1411.5565823467455,96507.27219016857,1,0.0024165794275267903
63,55.17333221435547,19760.0,1411.5565823467455,97640.2802571772,0,0.0117401315081833
64,54.45866775512695,19760.0,1411.5565823467455,96631.4909355839,1,-0.015331692196460456
65,54.5913314819336,19760.0,1411.5565823467455,96818.75329239649,1,-0.0030620980282978806
66,54.68199920654297,19760.0,1411.5565823467455,96946.73591587524,1,-0.003678121550561253
67,53.72066879272461,19760.0,1411.5565823467455,95589.76364243981,1,-0.018997090883110464
68,55.66666793823242,19760.0,1411.5565823467455,98336.65154552252,1,0.023736213987907803
69,59.87333297729492,19760.0,1411.5565823467455,104274.59727113911,0,0.060383851110363526
70,58.77066802978516,19760.0,1411.5565823467455,102718.12330635868,0,-0.014926684020013051
71,58.86399841308594,19760.0,1411.5565823467455,102849.86442323984,1,-0.0037174501184349847
72,57.62533187866211,19760.0,1411.5565823467455,101101.41652324125,1,-0.022000001991285986
73,59.04399871826172,19760.0,1411.5565823467455,103103.94503883513,1,0.01480712619524489
74,63.32799911499024,19760.0,1411.5565823467455,109151.05399761334,0,0.0586506069821136
75,62.711334228515625,19760.0,1411.5565823467455,108280.596618008,0,-0.007974795915615892
76,68.336669921875,19760.0,1411.5565823467455,116221.0762438795,0,0.07333243326949736
77,64.85600280761719,19760.0,1411.5565823467455,111307.91766779104,0,-0.0422742477945962
78,62.35200119018555,19760.0,1411.5565823467455,107773.37770249852,1,-0.03675461404139876
79,66.05999755859375,19760.0,1411.5565823467455,113007.42438364294,0,0.048565302421833906
80,65.47533416748047,19760.0,1411.5565823467455,112182.13892545982,0,-0.0073029313134453395
81,66.11933135986328,19760.0,1411.5565823467455,113091.1774013806,0,0.008103237151903383
82,66.9306640625,19760.0,1411.5565823467455,114236.41941826064,0,0.010126714065548797
83,66.72666931152344,19760.0,1411.5565823467455,113948.46928475548,0,-0.002520650900750568
84,66.28800201416016,19760.0,1411.5565823467455,113329.26557370208,0,-0.005434067828555152
85,66.78533172607422,19760.0,1411.5565823467455,114031.274602151,1,0.0011944196399328519
86,64.0566635131836,19760.0,1411.5565823467455,110179.6050252049,0,-0.03377730881623772
87,65.73200225830078,19760.0,1411.5565823467455,112544.44045853561,0,0.021463458983989832
88,63.982666015625,19760.0,1411.5565823467455,110075.15337044888,0,-0.021940551465946968
89,67.29000091552734,19760.0,1411.5565823467455,114743.64371843115,1,0.03741184504436532
90,71.98733520507812,19760.0,1411.5565823467455,121374.19685432962,0,0.05778579903013274
91,74.64199829101562,19760.0,1411.5565823467455,125121.40400719763,0,0.030873177742756035
92,80.57733154296875,19760.0,1411.5565823467455,133499.46272741357,0,0.06695943661033343
93,91.43866729736328,19760.0,1411.5565823467455,148830.85270460724,0,0.11484233467289691
94,92.65733337402344,19760.0,1411.5565823467455,150551.06882679957,0,0.011558195702920056
95,91.05867004394533,19760.0,1411.5565823467455,148294.46508027142,0,-0.014988958657771034
96,92.9520034790039,19760.0,1411.5565823467455,150967.01235310556,0,0.01802189496005451
97,102.97666931152344,19760.0,1411.5565823467455,165117.395394825,0,0.09373162269795862
98,99.8040008544922,19760.0,1411.5565823467455,160638.9943506987,0,-0.0271225271778157
99,101.12000274658205,19760.0,1411.5565823467455,162496.60548385888,0,0.01156388671797045
100,103.06732940673828,19760.0,1411.5565823467455,165245.3672489817,0,0.016915810376087175
101,100.04266357421876,19760.0,1411.5565823467455,160975.88028368948,0,-0.025837256658815682
102,100.05599975585938,19760.0,1411.5565823467455,160994.70505866766,0,0.00011694158742920008
103,109.53333282470705,19760.0,1411.5565823467455,174372.49693509206,0,0.08309460781054474
104,104.55733489990234,19760.0,1411.5565823467455,167348.59431059024,0,-0.0402810233721453
105,106.15533447265624,19760.0,1411.5565823467455,169604.26112609828,0,0.013478851285249685
106,100.87133026123048,19760.0,1411.5565823467455,162145.59020031235,0,-0.04397690763347318
107,94.46666717529295,19760.0,1411.5565823467455,153105.04586364402,0,-0.05575572129651949
108,102.63999938964844,19760.0,1411.5565823467455,164642.1667505242,0,0.07535428255679509
109,98.43267059326172,19760.0,1411.5565823467455,158703.28409388752,0,-0.03607145589644478
110,99.94066619873048,19760.0,1411.5565823467455,160831.9052169369,0,0.013412583962598352
111,99.16600036621094,19760.0,1411.5565823467455,159738.4205619248,0,-0.006798928692271228
112,95.38400268554688,19760.0,1411.5565823467455,154399.91684136333,0,-0.03342028612641691
113,99.0,19760.0,1411.5565823467455,159504.1016523278,0,0.03305820958575185
114,99.13333129882812,19760.0,1411.5565823467455,159692.3063248215,0,0.0011799362558331616
115,99.00133514404295,19760.0,1411.5565823467455,159505.98628369003,0,-0.0011667440055156844
116,99.30533599853516,19760.0,1411.5565823467455,159935.1006908875,0,0.002690271488834777
117,96.84733581542967,19760.0,1411.5565823467455,156465.49435301547,0,-0.02169383908150255
118,94.5713348388672,19760.0,1411.5565823467455,153252.7901931211,0,-0.020532988267981268
119,91.6259994506836,19760.0,1411.5565823467455,149095.2826387117,0,-0.027128429760856467
120,103.65066528320312,19760.0,1411.5565823467455,166068.77884512467,0,0.11384328132998746
121,108.06666564941406,19760.0,1411.5565823467455,172302.21322969536,0,0.0375352575476209
122,110.04733276367188,19760.0,1411.5565823467455,175098.0369322637,0,0.016226278526331038
123,122.3759994506836,19760.0,1411.5565823467455,192500.64754587415,0,0.09938781107147714
124,125.80599975585938,19760.0,1411.5565823467455,197342.28705409635,0,0.02515128946290106
125,125.23533630371094,19760.0,1411.5565823467455,196536.7633019115,0,-0.004081860832818001
126,133.45533752441406,19760.0,1411.5565823467455,208139.7601318933,0,0.059037284602869465
127,136.6653289794922,19760.0,1411.5565823467455,212670.84469958564,0,0.021769433023373672
128,134.27999877929688,19760.0,1411.5565823467455,209303.81615442946,0,-0.01583211158968385
129,134.8893280029297,19760.0,1411.5565823467455,210163.91883086457,0,0.0041093501888207476
130,143.54466247558594,19760.0,1411.5565823467455,222381.4131781552,0,0.05813316774475904
131,149.25,19760.0,1411.5565823467455,230434.81991525175,0,0.03621438780337605
132,147.55999755859375,19760.0,1411.5565823467455,228049.2858449027,0,-0.010352315987776356
133,166.10667419433594,19760.0,1411.5565823467455,254228.96933074118,0,0.11479835768327408
134,158.35000610351562,19760.0,1411.5565823467455,243279.9934300648,0,-0.043067381067938774
